AFF_LOVE_POINT	Love Point : %d%%
TOOLTIP_APPLY_CRITICAL_PCT	%d%% Chance to Critical Attack	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% chance to recover MP when hit	SA
TOOLTIP_APPLY_DODGE	%d%% chance to flee archery attack	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% chance to receive EXP Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% chance of getting double the amount of dropped gold	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immune to Falling Down	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Slow Resistance 90%	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Increases Faint Resistance	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% chance of getting double the amount of items per drop	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% chance to restore HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% chance to restore MP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% chance to consume opponent's MP	SA
TOOLTIP_APPLY_NOAFFECT	No Effect
TOOLTIP_APPLY_NO_DEATH_PENALTY	Immune lost EXP once when death	SNA
TOOLTIP_APPLY_PENETRATE_PCT	Chance to Pierce Attack %d%%	SA
TOOLTIP_APPLY_POISON_PCT	Chance to Poison Target %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Poison Resistance %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Potion's %d%% Effect Increases	SA
TOOLTIP_APPLY_REFLECT_CURSE	Chance to Reflect Curse %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	Chance to Reflect Physical Attack %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Decrease Bell Damage %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Decrease Dagger Damage %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Decrease Fan Damage %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Decrease Sword Damage %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Decrease Two Hand Sword Damage %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Decrease Wind Damage %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Increase chance of learning from skill book by 2.5 times	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	When learning skills fails, you can be released from Evil Spirit's Curse	SNA
TOOLTIP_APPLY_SLOW_PCT	Chance to Slow Target %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% Damage absorbed to HP	SA
TOOLTIP_APPLY_STEAL_SP	%d%% Damage absorbed to MP	SA
TOOLTIP_APPLY_STUN_PCT	Chance to faint target %d%%	SA
TOOLTIP_ANTI_SELL	Can not be sold in the Shop
TOOLTIP_ARMOR	Armor
TOOLTIP_ARROW	Arrow
TOOLTIP_ASSASSIN	Assassin
TOOLTIP_ATT_GRADE	Attack Power +%d	SA
TOOLTIP_ATT_SPEED	Attack Speed +%d%%	SA
TOOLTIP_BOW_DISTANCE	Bow Range +%dm	SA
TOOLTIP_BUYPRICE	Price : %s
TOOLTIP_CAST_SPEED	Skill Speed +%d%%	SA
TOOLTIP_CON	CON +%d	SA
TOOLTIP_DEF_GRADE	AC +%d	SA
TOOLTIP_DEX	DEX +%d	SA
TOOLTIP_EAR	Earring
TOOLTIP_ETC	Etc
TOOLTIP_PICK_EXP	Points : %d / %d
TOOLTIP_PICK_LEVEL	Level : %d
TOOLTIP_PICK_UPGRADE1	Give Pickax to lumberman
TOOLTIP_PICK_UPGRADE2	to upgrade
TOOLTIP_PICK_UPGRADE3	to better item
TOOLTIP_FISHINGROD_EXP	Points : %d / %d
TOOLTIP_FISHINGROD_LEVEL	Level : %d
TOOLTIP_FISHINGROD_UPGRADE1	Give item to fisherman
TOOLTIP_FISHINGROD_UPGRADE2	to upgrade
TOOLTIP_FISHINGROD_UPGRADE3	to better fishing pole
TOOLTIP_FISH_LEN	Length : %.2fcm
TOOLTIP_HELMET	Helmet
TOOLTIP_HP_REGEN	HP regeneration +%d%%	SA
TOOLTIP_INT	INT +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Attack Power %d
TOOLTIP_ITEM_ATT_POWER	Attack Power %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Attack Power %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Attack Power %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Attack Speed %s
TOOLTIP_ITEM_DEF_GRADE	AC : %d
TOOLTIP_ITEM_FAST	Fast
TOOLTIP_ITEM_LIMIT_CON	CON limit : %d
TOOLTIP_ITEM_LIMIT_DEX	DEX limit : %d
TOOLTIP_ITEM_LIMIT_INT	INT limit : %d
TOOLTIP_ITEM_LIMIT_LEVEL	Level limit : %d
TOOLTIP_ITEM_LIMIT_STR	STR Limit : %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magic Attack Power %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magic Attack Power %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magic Resistance : %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Slow
TOOLTIP_ITEM_VERY_FAST	Very Fast
TOOLTIP_ITEM_VERY_SLOW	Very Slow
TOOLTIP_ITEM_WEARABLE_JOB	[ Equipable ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Lucky Number : %d
TOOLTIP_MAGIC_ATT_GRADE	Magic Attack Power +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magic Resistance : +%d	SA
TOOLTIP_MALL_ATTBONUS	Attack Power +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Attack Power +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Auto look for dropped gold pouch	SNA
TOOLTIP_MALL_DEFBONUS	AC +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	AC +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	EXP Bonus 50%	SNA
TOOLTIP_MALL_FISH_MIND	Increases the chance of catching rare fish	SNA
TOOLTIP_MALL_GOLDBONUS	Gold Drop Rate %.1f times	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Gold Drop Rate 2 times	SNA
TOOLTIP_MALL_ITEMBONUS	Item Drop Rate %.1f times	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Item Drop Chance %.1f%% Increased	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Item Drop Chance 2 times	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Love Points are increasing faster!	SNA
TOOLTIP_MALL_SAFEBOX	Make a third room in bank	SNA
TOOLTIP_MAX_HP	Max HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max HP +%d%%	SA
TOOLTIP_MAX_SP	Max MP +%d	SA
TOOLTIP_MAX_SP_PCT	Max MP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max Stamina +%d	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Movement speed %d%%	SA
TOOLTIP_NECK	Necklace
TOOLTIP_NEED_ALL_SP	Required MP : Max
TOOLTIP_NEED_GSP	Required Dragon Spirit : %d
TOOLTIP_NEED_HP	Required CON : %d
TOOLTIP_NEED_HP_PER_SEC	CON : %d / Sec
TOOLTIP_NEED_SKILL_POINT	Required Skill Points :
TOOLTIP_NEED_SP	Required MP : %d
TOOLTIP_NEED_SP_PER_SEC	MP : %d / Sec
TOOLTIP_NEXT_SKILL_LEVEL_1	Next level : %d (Max %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Next level : %d (Max %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Damage %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Damage Resistance %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	More than %d party members,
TOOLTIP_PARTY_INFO_GRADE_UP2	Attack Grade +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Defence Grade +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Restore all party members HP/MP once in 60 minutes
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Restore all party members HP/MP once in 30 minutes
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Can summon party members 3 minutes after they have died
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Can summon party members if they are on the same server
TOOLTIP_PARTY_INFO_SET_ATTACKER	Attack Grade +(Number of Party Members/2) of Attacker %d can be selected
TOOLTIP_PARTY_INFO_SET_TANKER	Defence Grade +(Number of Party Members) of Tanker 1 can be selected
TOOLTIP_PARTY_SKILL_LEVEL	Current level : %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Attack/Defence Increased]
TOOLTIP_PARTY_TITLE_HEAL	[Restore]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	More than %d party members gives bonus EXP %d%%
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Summon]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Set Attacker]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Set Tanker]
TOOLTIP_POTION_CURE	Recover negative effects
TOOLTIP_POTION_MIN	Min
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Attack Speed : +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP : +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP : +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Movement speed : +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MP : +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MP : +%d
TOOLTIP_POTION_SEC	Sec
TOOLTIP_POTION_TIME	Duration :
TOOLTIP_REQUIREMENT_21_LEVEL	Must be Level 21 or higher
TOOLTIP_REQUIREMENT_41_LEVEL	Must be Level 41 or higher
TOOLTIP_REQUIREMENT_LEVEL	Must be Level %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Level %d  is required
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d required
TOOLTIP_RESIST_BOW	Increase Arrow Resistance %d%%	SA
TOOLTIP_RESIST_ELEC	Increase Lightning Resistance %d%%	SA
TOOLTIP_RESIST_FIRE	Increase Fire Resistance %d%%	SA
TOOLTIP_RESIST_MAGIC	Magic Resistance %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Remaining : %d
TOOLTIP_SELLPRICE	Price : %s
TOOLTIP_SHAMAN	Mage
TOOLTIP_SHIELD	Shield
TOOLTIP_SHOES	Shoes
TOOLTIP_SKILL	Skill	SNA
TOOLTIP_SKILLBOOK_NAME	Skill Book
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Attack Power : +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Attack Power :
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Attack Speed : +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	AC :
TOOLTIP_SKILL_AFFECT_DODGE	Opponent's Attack Power : -
TOOLTIP_SKILL_AFFECT_HEAL	Restore HP :
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Moving Speed : +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Chance to reflect attack :
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Physical Damage Resistance :
TOOLTIP_SKILL_COOL_TIME	Cool down time :
TOOLTIP_SKILL_DAMAGE_BONUS	Skill Damage %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Skill Damage Resistance %d%%	SA
TOOLTIP_SKILL_DURATION	Duration : %d Sec
TOOLTIP_SKILL_FORGET_BOOK_NAME	Tome of Forgetfulness
TOOLTIP_SKILL_LEVEL	Current level : %d
TOOLTIP_SKILL_LEVEL_MASTER	Current Level : %d (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Current Level : %d (Max %d)
TOOLTIP_SOCKET_EMPTY	Empty
TOOLTIP_SOCKET_REFINABLE_ITEM	[ Item with a socket ]
TOOLTIP_SP_REGEN	MP regeneration +%d%%	SA
TOOLTIP_STR	STR +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_UNIQUE	Unique
TOOLTIP_WARRIOR	Warrior
TOOLTIP_WEAPON	Weapon
TOOLTIP_WRISTLET	Bracelet
UI_ACCEPT	Accept
UI_CANCEL	Cancel
UI_CLOSE	Close
UI_DEF_FONT	Tahoma:14
UI_DEF_FONT_LARGE	Tahoma:14	
UI_DEF_FONT_SMALL	Tahoma:10
UI_DENY	Deny
UI_ITEM	Item
UI_LEFT_TIME	Remaining Time : %d Sec
UI_NEXT	Next
UI_NOCONTENTS	No content
UI_NONAME	No Name
UI_OK	OK
UI_POS_UNKNOWN	Unknown Location
UI_UNKNOWN	Unknown
USE_ITEM_FAILURE_PRIVATE_SHOP	Can not use the item when opening a private shop
USE_SKILL_ERROR_UNKNOWN	Unknown Skill Error : %s
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Please re-log to upload the guild logo.
UPLOAD_MARK_CHECK_NEED_RECONNECT	Please re-log to upload the guild logo.
DO_YOU_SELL_ITEM1	Do you want sell %s as %s?
DO_YOU_SELL_ITEM2	Do you want sell %s %s as %s?
DO_YOU_BUY_ITEM1	Do you want buy %s for %s?
DO_YOU_BUY_ITEM2	Do you want buy %s %s for %s?
REFINE_FAILURE_CAN_NOT_ATTACH	%s can't attach in this item
REFINE_FAILURE_NO_SOCKET0	There is no Socket to attach
REFINE_FAILURE_NO_GOLD_SOCKET	There is no Goldsocket to attach %s
HOW_MANY_ITEM_DO_YOU_DROP1	Do you want to drop %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Do you want to drop %s %s?
MONETARY_UNIT0	Gold
MONETARY_UNIT1	Ten Thousand
MONETARY_UNIT2	Hundred Billion
FISHING_NOTIFY1	It looks like %s is hooked!
FISHING_NOTIFY2	It looks like %s got captured!
FISHING_SUCCESS1	Captured %s!
FISHING_SUCCESS2	Got %s!
TOOLTIP_APPLY_RESIST_WARRIOR	WARRIOR Resistance %s%%	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	ASSASSIN Resistance %s%%	SA
TOOLTIP_APPLY_RESIST_SURA	SURA Resistance %s%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Mage Resistance %s%%	SA
FOR_MALE	Male
FOR_FEMALE	Female
LOGIN_FAILURE_WEB_BLOCK	test
GUILD_MARK_MIN_LEVEL	3
GUILD_MARK_NOT_ENOUGH_LEVEL	higher level3 required
TOOLTIP_AUTO_POTION_USING	In use...
TOOLTIP_AUTO_POTION_REST	Remaining:%.2f%%
TOOLTIP_AUTO_POTION_HP	Auto Red Potion
TOOLTIP_AUTO_POTION_SP	Auto Blue Potion
TOOLTIP_APPLY_MAX_SP_PCT	Max MP+%d%%	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max HP+%d%%	SA
TOOLTIP_ENERGY	energy %d	SA
UI_NEXTPAGE	>>
UI_PREVPAGE	<<
TOOLTIP_COSTUME_ATTR_BONUS	increased costume bonus %d	SA
