AFF_LOVE_POINT	금슬 : %d%%
SYSTEM_OPTION_CPU_TILING_2	그래픽상 문제가 생길 경우 `시스템 옵션` 혹은 `CONFIG.exe` 를 이용해
SYSTEM_OPTION_CPU_TILING_3	GPU 타일링 모드로 재설정하시기 바랍니다
SYSTEM_OPTION_GPU_TILING_1	GPU 타일링 모드는 저사양에서 느릴 수 있습니다
SYSTEM_OPTION_GPU_TILING_2	그래픽상 문제가 생길 경우 `시스템 옵션` 혹은 `CONFIG.exe` 를 이용해
SYSTEM_OPTION_GPU_TILING_3	CPU 타일링 모드로 재설정하시기 바랍니다
SYSTEM_OPTION_TILING_EXIT	타일링 모드를 설정하기 위해 게임을 종료합니다
TARGET_BUTTON_ACCEPT_FIGHT	대결동의
TARGET_BUTTON_AVENGE	복수
TARGET_BUTTON_BUILDING_DESTROY	파괴
TARGET_BUTTON_DISMOUNT	내림
TARGET_BUTTON_EMOTION_ALLOW	액션허용
TARGET_BUTTON_EXCHANGE	교환
TARGET_BUTTON_EXCLUDE	제외
TARGET_BUTTON_EXIT_OBSERVER	관람종료
TARGET_BUTTON_FIGHT	대결
TARGET_BUTTON_FRIEND	친구
TARGET_BUTTON_INVITE_GUILD	길드초대
TARGET_BUTTON_INVITE_PARTY	파티초대
TARGET_BUTTON_LEAVE_PARTY	파티탈퇴
TARGET_BUTTON_REQUEST_ENTER_PARTY	파티가입
TARGET_BUTTON_VIEW_EQUIPMENT	장비
TARGET_BUTTON_WHISPER	귓말
TARGET_LEVEL_BOSS	장군
TARGET_LEVEL_KING	대왕
TARGET_LEVEL_KNIGHT	장수
TARGET_LEVEL_PAWN	졸병
TARGET_LEVEL_S_KNIGHT	상급 장수
TARGET_LEVEL_S_PAWN	상급 졸병
TASKBAR_ATTACK	공격
TASKBAR_AUTO	자동
TASKBAR_CAMERA	카메라
TASKBAR_EXP	경험치
TASKBAR_HP	생명력
TASKBAR_MOVE	이동
TASKBAR_SKILL	스킬
TASKBAR_SP	정신력
TASKBAR_ST	지구력
THING_COUNT	개
TOOLTIP_APPLY_ATTBONUS_ANIMAL	동물류 타격치 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	자객에게 강함 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	악마류 타격치 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	인간몬스터류 타격치 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	밀교류 타격치 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	몬스터에게 강함 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	웅귀족 타격치 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	무당에게 강함 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	수라에게 강함 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	시체류 타격치 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	무사에게 강함 +%d%%	SA
TOOLTIP_APPLY_BLOCK	물리타격시 블럭 확률 %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	전투 중 5초당 정신력 회복 %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	%d%% 확률로 치명타 공격	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% 확률로 피해시 정신력 회복	SA
TOOLTIP_APPLY_DODGE	활 공격 회피 확률 %d%%	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% 확률로 적퇴치시 경험치 추가 상승	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% 확률로 적퇴치시 돈 2배 드롭	SA
TOOLTIP_APPLY_IMMUNE_FALL	넘어지지 않음	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	느려지지 않음	SNA
TOOLTIP_APPLY_IMMUNE_STUN	기절하지 않음	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% 확률로 적퇴치시 아이템 2배 드롭	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% 확률로 적퇴치시 생명력 회복	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% 확률로 적퇴치시 정신력 회복	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% 확률로 타격시 상대 정신력 소모	SA
TOOLTIP_APPLY_NOAFFECT	성능 없음
TOOLTIP_APPLY_NO_DEATH_PENALTY	사망시 경험치 감소를 한번 막아준다	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% 확률로 관통 공격	SA
TOOLTIP_APPLY_POISON_PCT	중독 확률 %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	독 저항 %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	물약 사용시 %d%% 성능 증가	SA
TOOLTIP_APPLY_REFLECT_CURSE	저주 되돌리기 확률 %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	근접 물리공격 반사 %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	방울 방어 %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	두손검 방어 %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	부채 방어 %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	한손검 방어 %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	양손검 방어 %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	바람 저항 %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	책 수련 성공 확률이 2.5배로 상승한다	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	기술 수련 실패시 주화입마에서 풀려날 수 있다	SNA
TOOLTIP_APPLY_SLOW_PCT	느려짐 확률 %d%%	SA
TOOLTIP_APPLY_STEAL_HP	타격치 %d%% 를 생명력으로 흡수	SA
TOOLTIP_APPLY_STEAL_SP	타격치 %d%% 를 정신력으로 흡수	SA
TOOLTIP_APPLY_STUN_PCT	기절 확률 %d%%	SA
TOOLTIP_ANTI_SELL	상점에 팔 수 없음
TOOLTIP_ARMOR	갑옷
TOOLTIP_ARROW	화살
TOOLTIP_ASSASSIN	자객
TOOLTIP_ATT_GRADE	공격력 +%d	SA
TOOLTIP_ATT_SPEED	공격속도 +%d%%	SA
TOOLTIP_BOW_DISTANCE	활 사정거리 +%dm	SA
TOOLTIP_BUYPRICE	가격 : %s
TOOLTIP_CAST_SPEED	주문속도 +%d%%	SA
TOOLTIP_CON	체력 +%d	SA
TOOLTIP_DEF_GRADE	방어력 +%d	SA
TOOLTIP_DEX	민첩 +%d	SA
TOOLTIP_EAR	귀걸이
TOOLTIP_ETC	기타
TOOLTIP_PICK_EXP	수련도 : %d / %d
TOOLTIP_PICK_LEVEL	레벨 : %d
TOOLTIP_PICK_UPGRADE1	나무꾼에게 건내주면 더 좋은
TOOLTIP_PICK_UPGRADE2	곡괭이로 업그레이드 할 수
TOOLTIP_PICK_UPGRADE3	있습니다
TOOLTIP_FISHINGROD_EXP	수련도 : %d / %d
TOOLTIP_FISHINGROD_LEVEL	레벨 : %d
TOOLTIP_FISHINGROD_UPGRADE1	어부에게 건내주면 더 좋은
TOOLTIP_FISHINGROD_UPGRADE2	낚시대로 업그레이드 할 수
TOOLTIP_FISHINGROD_UPGRADE3	있습니다
TOOLTIP_FISH_LEN	길이 : %.2fcm
TOOLTIP_HELMET	투구
TOOLTIP_HP_REGEN	생명력 회복률 +%d%%	SA
TOOLTIP_INT	지능 +%d	SA
TOOLTIP_ITEM_ATT_GRADE	공격력 %d
TOOLTIP_ITEM_ATT_POWER	파괴력 %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	파괴력 %d
TOOLTIP_ITEM_ATT_POWER_REFINE	파괴력 %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	공격속도 %s
TOOLTIP_ITEM_DEF_GRADE	방어력 %d
TOOLTIP_ITEM_FAST	빠름
TOOLTIP_ITEM_LIMIT_CON	체력제한 : %d
TOOLTIP_ITEM_LIMIT_DEX	민첩제한 : %d
TOOLTIP_ITEM_LIMIT_INT	지능제한 : %d
TOOLTIP_ITEM_LIMIT_LEVEL	레벨제한 : %d
TOOLTIP_ITEM_LIMIT_STR	근력제한 : %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	마법 공격력 %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	마법 공격력 %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	마법 방어력 %d
TOOLTIP_ITEM_NORMAL	보통
TOOLTIP_ITEM_SLOW	느림
TOOLTIP_ITEM_VERY_FAST	매우빠름
TOOLTIP_ITEM_VERY_SLOW	매우느림
TOOLTIP_ITEM_WEARABLE_JOB	[ 착용 가능 ]
TOOLTIP_ITEM_BINDED	봉인 아이템
TOOLTIP_ITEM_UNBINDING	봉인 해제 중 (남은 시간: %s)
TOOLTIP_LOTTERY_STEP_NUMBER	%d회차
TOOLTIP_LOTTO_NUMBER	행운번호 : %d
TOOLTIP_MAGIC_ATT_GRADE	마법 공격력 +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	마법 방어력 +%d	SA
TOOLTIP_MALL_ATTBONUS	공격력 +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	공격력 +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	사냥시 드롭된 돈꾸러미를 자동으로 주워 줍니다	SNA
TOOLTIP_MALL_DEFBONUS	방어력 +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	방어력 +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	경험치 +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	PC 방에서 경험치 +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	경험치 20% 증가	SNA
TOOLTIP_MALL_FISH_MIND	고급 물고기를 낚을 확률을 올려줍니다	SNA
TOOLTIP_MALL_GOLDBONUS	돈 드롭율 %.1f배	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	돈 드롭율 2배	SNA
TOOLTIP_MALL_ITEMBONUS	아이템 드롭율 %.1f배	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	PC 방에서 아이템 드롭율 %.1f%%증가	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	아이템 드롭율 2배	SNA
TOOLTIP_MALL_MARRIAGE_FAST	금슬 수치의 상승 속도가 증가 합니다	SNA
TOOLTIP_MALL_SAFEBOX	창고를 3칸으로 확장 시킵니다	SNA
TOOLTIP_MAX_HP	최대 생명력 +%d	SA
TOOLTIP_MAX_HP_PCT	최대 생명력 +%d%%	SA
TOOLTIP_MAX_SP	최대 정신력 +%d	SA
TOOLTIP_MAX_SP_PCT	최대 정신력 +%d%%	SA
TOOLTIP_MAX_STAMINA	최대 지구력 +%d	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	이동속도 %d%%	SA
TOOLTIP_NECK	목걸이
TOOLTIP_NEED_ALL_SP	필요 정신력 : 전부
TOOLTIP_NEED_GSP	필요 용신력 : %d
TOOLTIP_NEED_HP	필요 체력 : %d
TOOLTIP_NEED_HP_PER_SEC	지속 체력 : %d / 초
TOOLTIP_NEED_SKILL_POINT	필요 스킬 포인트 : 
TOOLTIP_NEED_SP	필요 정신력 : %d
TOOLTIP_NEED_SP_PER_SEC	지속 정신력 : %d / 초
TOOLTIP_NEXT_SKILL_LEVEL_1	다음 레벨 : %d (최대 %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	다음 레벨 : %d (최대 %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	평타 데미지 %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	평타 데미지 저항 %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	파티원이 %d명 이상일 경우 전원
TOOLTIP_PARTY_INFO_GRADE_UP2	공격등급 +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	, 방어등급 +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	한시간에 한번 파티원 모두의 체력/정신력 모두 회복
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	30분에 한번 파티원 모두의 체력/정신력 모두 회복
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	파티원이 죽은지 3분 이내 소환 가능
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	같은 서버내 파티원을 언제라도 소환 가능
TOOLTIP_PARTY_INFO_SET_ATTACKER	공격등급 +(파티원수/2)의 어태커 %d명 설정 가능
TOOLTIP_PARTY_INFO_SET_TANKER	방어등급 +(파티원수)의 탱커 1명 설정 가능
TOOLTIP_PARTY_SKILL_LEVEL	현재 레벨 : %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[공격/방어 등급 상승]
TOOLTIP_PARTY_TITLE_HEAL	[회복]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	파티원이 %d명 이상일 경우 보너스 경험치 %d%%
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[보너스 경험치]
TOOLTIP_PARTY_TITLE_RECALL	[소환]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[어태커 설정]
TOOLTIP_PARTY_TITLE_SET_TANKER	[탱커 설정]
TOOLTIP_POTION_CURE	상태 이상 회복
TOOLTIP_POTION_MIN	분
TOOLTIP_POTION_PLUS_ATTACK_SPEED	공격속도 : +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	생명력 : +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	생명력 : +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	이동속도 : +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	정신력 : +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	정신력 : +%d
TOOLTIP_POTION_SEC	초
TOOLTIP_POTION_TIME	지속시간 : 
TOOLTIP_REQUIREMENT_21_LEVEL	레벨 21 이상 습득 가능
TOOLTIP_REQUIREMENT_41_LEVEL	레벨 41 이상 습득 가능
TOOLTIP_REQUIREMENT_LEVEL	레벨 %d 이상 습득 가능
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s 레벨 %d 이상
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d 이상 습득 가능
TOOLTIP_RESIST_BOW	활공격 저항 %d%%	SA
TOOLTIP_RESIST_ELEC	전기 저항 %d%%	SA
TOOLTIP_RESIST_FIRE	화염 저항 %d%%	SA
TOOLTIP_RESIST_MAGIC	마법 저항 %d%%	SA
TOOLTIP_REST_USABLE_COUNT	남은 사용 횟수 : %d
TOOLTIP_SELLPRICE	판매가격 : %s
TOOLTIP_SHAMAN	무당
TOOLTIP_SHIELD	방패
TOOLTIP_SHOES	신발
TOOLTIP_SKILL	스킬	SNA
TOOLTIP_SKILLBOOK_NAME	수련서
TOOLTIP_SKILL_AFFECT_ATT_GRADE	공격력 : +
TOOLTIP_SKILL_AFFECT_ATT_POWER	공격력 : 
TOOLTIP_SKILL_AFFECT_ATT_SPEED	공격 속도 : +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	방어력 : 
TOOLTIP_SKILL_AFFECT_DODGE	상대 공격력 : -
TOOLTIP_SKILL_AFFECT_HEAL	생명력 회복 : 
TOOLTIP_SKILL_AFFECT_MOV_SPEED	이동 속도 : +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	직접 타격치 반사 확률 : 
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	물리 타격 저항 : 
TOOLTIP_SKILL_COOL_TIME	쿨타임 : 
TOOLTIP_SKILL_DAMAGE_BONUS	스킬 데미지 %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	스킬 데미지 저항 %d%%	SA
TOOLTIP_SKILL_DURATION	지속 시간 : %d초
TOOLTIP_SKILL_FORGET_BOOK_NAME	망각서
TOOLTIP_SKILL_LEVEL	현재 레벨 : %d
TOOLTIP_SKILL_LEVEL_MASTER	현재 레벨 : %d (마스터)
TOOLTIP_SKILL_LEVEL_WITH_MAX	현재 레벨 : %d (최대 %d)
TOOLTIP_SOCKET_EMPTY	비어있음
TOOLTIP_SOCKET_REFINABLE_ITEM	[ 부착 가능 장비 ]
TOOLTIP_SP_REGEN	정신력 회복률 +%d%%	SA
TOOLTIP_STR	근력 +%d	SA
TOOLTIP_SURA	수라
TOOLTIP_UNIQUE	유니크
TOOLTIP_WARRIOR	무사
TOOLTIP_WEAPON	무기
TOOLTIP_WRISTLET	팔찌
UI_ACCEPT	수락
UI_CANCEL	취소
UI_CLOSE	닫기
UI_DEF_FONT	굴림체:12
UI_DEF_FONT_LARGE	굴림체:16
UI_DEF_FONT_SMALL	굴림체:9
UI_DENY	거절
UI_ITEM	아이템
UI_LEFT_TIME	남은 시간 : %d초
UI_NEXT	다음
UI_NOCONTENTS	내용없음
UI_NONAME	이름없음
UI_OK	확인
UI_POS_UNKNOWN	위치 알 수 없음
UI_UNKNOWN	알 수 없음
USE_ITEM_FAILURE_PRIVATE_SHOP	개인 상점을 열고 있는 동안에는 아이템을 사용할 수 없습니다
USE_SKILL_ERROR_UNKNOWN	알 수 없는 스킬 에러 : %s
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	길드마크를 올리려면 재접속해주세요
UPLOAD_MARK_CHECK_NEED_RECONNECT	길드마크를 보시려면 재접속해주세요
TOOLTIP_APPLY_RESIST_WARRIOR	무사공격에 %d%% 저항	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	자객공격에 %d%% 저항	SA
TOOLTIP_APPLY_RESIST_SURA	수라공격에 %d%% 저항	SA
TOOLTIP_APPLY_RESIST_SHAMAN	무당공격에 %d%% 저항	SA
FOR_MALE	남성용
FOR_FEMALE	여성용
LOGIN_FAILURE_WEB_BLOCK	test
