AFF_LOVE_POINT	琴瑟 : %d%%
TOOLTIP_APPLY_COMBAT_SP_RECOVER	战斗时每5秒钟恢复%d精力	SA
TOOLTIP_APPLY_CRITICAL_PCT	%d%%几率增加2倍破坏力	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	受攻击时%d%%几率恢复精力	SA
TOOLTIP_APPLY_DODGE	躲闪弓箭的攻击概率为%d%%	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%%几率获得2倍经验值	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%%几率获得2倍金钱	SA
TOOLTIP_APPLY_IMMUNE_FALL	不会被击倒	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	不会被缓慢	SNA
TOOLTIP_APPLY_IMMUNE_STUN	不会被击晕	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	按%d%%几率获得2倍掉宝	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	攻击敌人时以%d%% 的概率恢复生命力	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	敌人死亡%d%%几率吸取精力值	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%%几率消耗敌人精力	SA
TOOLTIP_APPLY_NOAFFECT	没有性能	
TOOLTIP_APPLY_NO_DEATH_PENALTY	死亡时防止一次经验值减少	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%%几率无视对方防御力	SA
TOOLTIP_APPLY_POISON_PCT	%d%%几率使敌人中毒	SA
TOOLTIP_APPLY_POISON_REDUCE	抗毒 %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	药物增加%d%%性能	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%%几率反弹诅咒攻击	SA
TOOLTIP_APPLY_REFLECT_MELEE	受近距攻击时%d%%伤害反弹	SA
TOOLTIP_APPLY_RESIST_BELL	减少%d%%铃铛伤害	SA
TOOLTIP_APPLY_RESIST_DAGGER	减少%d%%双刀伤害	SA
TOOLTIP_APPLY_RESIST_FAN	减少%d%%扇子伤害	SA
TOOLTIP_APPLY_RESIST_SWORD	减少%d%%单刀伤害	SA
TOOLTIP_APPLY_RESIST_TWOHAND	减少%d%%重刀伤害	SA
TOOLTIP_APPLY_RESIST_WIND	减少%d%%风属性伤害	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	书修炼成功率提高到 2.5倍	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	技能修炼失败时可以摆脱走火入魔	SNA
TOOLTIP_APPLY_SLOW_PCT	%d%%几率使敌人缓慢	SA
TOOLTIP_APPLY_STEAL_HP	将伤害 %d%% 转为生命力	SA
TOOLTIP_APPLY_STEAL_SP	将伤害 %d%% 转为精神力	SA
TOOLTIP_APPLY_STUN_PCT	%d%%几率使敌人晕倒	SA
TOOLTIP_ANTI_SELL	该物品不能往商店出售	
TOOLTIP_ARMOR	盔甲	
TOOLTIP_ARROW	弓箭	
TOOLTIP_ASSASSIN	刺客	
TOOLTIP_ATT_GRADE	攻击力 : +%d	SA
TOOLTIP_ATT_SPEED	攻击速度 : +%d	SA
TOOLTIP_BOW_DISTANCE	弓箭射程: +%dm	SA
TOOLTIP_BUYPRICE	价格 : %s	
TOOLTIP_CAST_SPEED	释放速度 : +%d%%	SA
TOOLTIP_CON	体力 : +%d	SA
TOOLTIP_DEF_GRADE	防御力 : +%d	SA
TOOLTIP_DEX	敏捷 : +%d	SA
TOOLTIP_EAR	耳环	
TOOLTIP_ETC	其他	
TOOLTIP_PICK_EXP	修炼度 : %d / %d	
TOOLTIP_PICK_LEVEL	等级 : %d	
TOOLTIP_PICK_UPGRADE1	把锄头递给砍材人	
TOOLTIP_PICK_UPGRADE2	能改良为更好的锄头  	
TOOLTIP_PICK_UPGRADE3	  	
TOOLTIP_FISHINGROD_EXP	修炼度 : %d / %d	
TOOLTIP_FISHINGROD_LEVEL	等级 : %d	
TOOLTIP_FISHINGROD_UPGRADE1	交给鱼夫的话	
TOOLTIP_FISHINGROD_UPGRADE2	可以升级成更好的鱼杆 	
TOOLTIP_FISHINGROD_UPGRADE3		
TOOLTIP_FISH_LEN	长度 : %.2fcm	
TOOLTIP_HELMET	头盔	
TOOLTIP_HP_REGEN	生命恢复量 : +%d	SA
TOOLTIP_INT	智力 : +%d	SA
TOOLTIP_ITEM_ATT_GRADE	攻击力 : %d	
TOOLTIP_ITEM_ATT_POWER	伤害力 : %d - %d	
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	伤害力 : %d	
TOOLTIP_ITEM_ATT_POWER_REFINE	破坏力 %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	攻击速度 : %s
TOOLTIP_ITEM_DEF_GRADE	防御力 : %d
TOOLTIP_ITEM_FAST	快
TOOLTIP_ITEM_LIMIT_CON	体力限制 : %d
TOOLTIP_ITEM_LIMIT_DEX	敏捷限制 : %d
TOOLTIP_ITEM_LIMIT_INT	智力限制 : %d
TOOLTIP_ITEM_LIMIT_LEVEL	等级限制 : %d
TOOLTIP_ITEM_LIMIT_STR	力量限制 : %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	魔法攻击力 : %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	魔法攻击力 : %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	魔法防御力 : %d
TOOLTIP_ITEM_NORMAL	普通
TOOLTIP_ITEM_SLOW	慢
TOOLTIP_ITEM_VERY_FAST	非常快
TOOLTIP_ITEM_VERY_SLOW	非常慢
TOOLTIP_ITEM_WEARABLE_JOB	[可以使用]	
TOOLTIP_LOTTERY_STEP_NUMBER	%d回数	
TOOLTIP_LOTTO_NUMBER	幸运号码 : %d	
TOOLTIP_MAGIC_ATT_GRADE	魔法攻击力 : +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	魔法防御力 : +%d	SA
TOOLTIP_MALL_ATTBONUS	攻击力 +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	攻击力 +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	打猎时自动拣取金钱	SNA
TOOLTIP_MALL_DEFBONUS	防御力 +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	防御力 +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	经验值 +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	网吧经验值 +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	经验值增加 2倍	SNA
TOOLTIP_MALL_FISH_MIND	提高获得高级鱼的概率	SNA
TOOLTIP_MALL_GOLDBONUS	金钱爆率 %.1f倍	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	金钱爆率 2倍	SNA
TOOLTIP_MALL_ITEMBONUS	物品爆率 %.1f倍	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	网吧物品爆率增加%.1f%% 	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	物品爆率增加 2倍	SNA
TOOLTIP_MALL_MARRIAGE_FAST	增加琴瑟数值的提高速度	SNA
TOOLTIP_MALL_SAFEBOX	仓库可以扩到3个物品栏	SNA
TOOLTIP_MAX_HP	最大生命值 : +%d	SA
TOOLTIP_MAX_HP_PCT	最大生命值 : +%d%%	SA
TOOLTIP_MAX_SP	最大精力值 : +%d	SA
TOOLTIP_MAX_SP_PCT	最大精力值 : +%d%%	SA
TOOLTIP_MAX_STAMINA	最大耐力 +%d	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)	
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)	
TOOLTIP_MOV_SPEED	移动速度 : %d	SA
TOOLTIP_NECK	项链	
TOOLTIP_NEED_ALL_SP	需要的精力值：全部 	
TOOLTIP_NEED_GSP	需要的龙神力 : %d	
TOOLTIP_NEED_HP	需要的体力 : %d	
TOOLTIP_NEED_HP_PER_SEC	持续体力: %d / 秒	
TOOLTIP_NEED_SKILL_POINT	需要的技能点数 : 	
TOOLTIP_NEED_SP	需要的精力值 : %d	
TOOLTIP_NEED_SP_PER_SEC	持续的精力值: %d / 秒	
TOOLTIP_NEXT_SKILL_LEVEL_1	下一等级：%d (最大 %d)	
TOOLTIP_NEXT_SKILL_LEVEL_2	下一等级：%d (最大 %d-%d)	
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	物理伤害 %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	彻底防御物理攻击%d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	组队队员在%d名以上时全体队员	
TOOLTIP_PARTY_INFO_GRADE_UP2	攻击等级 +%d	
TOOLTIP_PARTY_INFO_GRADE_UP3	, 防御等级 +%d	
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	每一个小时给全部队员的生命/精力全部恢复	
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	每30分钟给全部队员的生命/精力全部恢复	
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	队员死后在3分钟之内可以唤醒	
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	在同一个服务器里可以随时唤醒队员	
TOOLTIP_PARTY_INFO_SET_ATTACKER	可以设定%d名防御等级+（队员数）的攻击手
TOOLTIP_PARTY_INFO_SET_TANKER	可以设定一名防御等级+（队员数）的防守人
TOOLTIP_PARTY_SKILL_LEVEL	现等级 : %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[攻击/防御 等级上升]
TOOLTIP_PARTY_TITLE_HEAL	[恢复]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	组队队员在%d名以上时奖励经验值 %d%%
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[奖励经验值]
TOOLTIP_PARTY_TITLE_RECALL	[唤醒]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[攻击手设定]
TOOLTIP_PARTY_TITLE_SET_TANKER	[防守手设定]
TOOLTIP_POTION_CURE	异常状态已恢复
TOOLTIP_POTION_MIN	分
TOOLTIP_POTION_PLUS_ATTACK_SPEED	攻击速度 : +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	生命值 : +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	生命值 : +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	移动速度 : +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	精力值 : +%d%%	
TOOLTIP_POTION_PLUS_SP_POINT	精力值 : +%d	
TOOLTIP_POTION_SEC	秒	
TOOLTIP_POTION_TIME	持续时间 : 	
TOOLTIP_REQUIREMENT_21_LEVEL	21等级以上才可以学习	
TOOLTIP_REQUIREMENT_41_LEVEL	41等级以上才可以学习	
TOOLTIP_REQUIREMENT_LEVEL	人物 %d 级可以学习	
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s 等级 %d 以上	
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d 以上才可以学习	
TOOLTIP_RESIST_BOW	减少%d%%弓箭攻击伤害	SA
TOOLTIP_RESIST_ELEC	减少%d%%电攻击伤害	SA
TOOLTIP_RESIST_FIRE	减少%d%%火焰攻击伤害	SA
TOOLTIP_RESIST_MAGIC	减少%d%%魔法攻击伤害	SA
TOOLTIP_REST_USABLE_COUNT	剩余的使用次数 : %d	
TOOLTIP_SELLPRICE	售价 : %s	
TOOLTIP_SHAMAN	法师	
TOOLTIP_SHIELD	盾牌	
TOOLTIP_SHOES	鞋	
TOOLTIP_SKILL	技能	SNA
TOOLTIP_SKILLBOOK_NAME	修炼书	
TOOLTIP_SKILL_AFFECT_ATT_GRADE	攻击力 : +	
TOOLTIP_SKILL_AFFECT_ATT_POWER	攻击力 : 	
TOOLTIP_SKILL_AFFECT_ATT_SPEED	攻击速度 : +	
TOOLTIP_SKILL_AFFECT_DEF_GRADE	防御力 : 	
TOOLTIP_SKILL_AFFECT_DODGE	对方的攻击力 : -	
TOOLTIP_SKILL_AFFECT_HEAL	恢复生命 : 	
TOOLTIP_SKILL_AFFECT_MOV_SPEED	移动速度 : +	
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	被攻击时反弹概率 : 	
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	抵抗物理攻击 : 	
TOOLTIP_SKILL_COOL_TIME	延迟 : 	
TOOLTIP_SKILL_DAMAGE_BONUS	技能伤害 %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	减少技能伤害 %d%%	SA
TOOLTIP_SKILL_DURATION	持续时间 : %.0f秒	
TOOLTIP_SKILL_FORGET_BOOK_NAME	遗忘卷轴	
TOOLTIP_SKILL_LEVEL	现等级 : %d	
TOOLTIP_SKILL_LEVEL_MASTER	现等级: %d (管理者)	
TOOLTIP_SKILL_LEVEL_WITH_MAX	现等级 : %d (最大 %d)	
TOOLTIP_SOCKET_EMPTY	空闲	
TOOLTIP_SOCKET_REFINABLE_ITEM	[可镶嵌的装备]	
TOOLTIP_SP_REGEN	精力恢复量 : +%d	SA
TOOLTIP_STR	力量 : +%d	SA
TOOLTIP_SURA	修罗	
TOOLTIP_UNIQUE	唯一	
TOOLTIP_WARRIOR	猛将	
TOOLTIP_WEAPON	武器	
TOOLTIP_WRISTLET	手镯	
UI_ACCEPT	接受	
UI_CANCEL	取消	
UI_CLOSE	关闭
UI_DEF_FONT	宋体:12
UI_DEF_FONT_LARGE	宋体:12
UI_DEF_FONT_SMALL	宋体:9
UI_DENY	拒绝
UI_ITEM	装备
UI_LEFT_TIME	剩余时间 : %d秒
UI_NEXT	继续
UI_NOCONTENTS	没有内容
UI_NONAME	没有名称
UI_OK	确认
UI_POS_UNKNOWN	不知道的位置
UI_UNKNOWN	未知坐标
USE_ITEM_FAILURE_PRIVATE_SHOP	开启个人商店时不能使用物品
USE_SKILL_ERROR_UNKNOWN	技能使用出现错误 : %s
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	请您重新登陆，才能正常显示
UPLOAD_MARK_CHECK_NEED_RECONNECT	请您重新登陆，才能正常显示	
TOOLTIP_APPLY_RESIST_WARRIOR	减少 %d%% 猛将攻击	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	减少 %d%% 刺客攻击	SA
TOOLTIP_APPLY_RESIST_SURA	减少 %d%% 修罗攻击	SA
TOOLTIP_APPLY_RESIST_SHAMAN	减少 %d%% 法师攻击	SA
FOR_MALE	男性		
FOR_FEMALE	女性
LOGIN_FAILURE_PASERR1	动态密码错误
LOGIN_FAILURE_PASERR2	用户没找到
LOGIN_FAILURE_PASERR3	系统没找到
LOGIN_FAILURE_PASERR4	用户绑定的令牌已经被禁用
LOGIN_FAILURE_PASERR5	用户ID或动态密码为空
WAIT_FOR_PASSPOD	正在验证动态密码，请稍候……
LOGIN_FAILURE_WEB_BLOCK	test
GUILD_MARK_MIN_LEVEL	3
GUILD_MARK_NOT_ENOUGH_LEVEL	等级需要3级以上
DO_YOU_SELL_ITEM1	Do you want sell %s as %s?
DO_YOU_SELL_ITEM2	Do you want sell %s %s as %s?
DO_YOU_BUY_ITEM1	Do you want buy %s for %s?
DO_YOU_BUY_ITEM2	Do you want buy %s %s for %s?
REFINE_FAILURE_CAN_NOT_ATTACH	%s can't attach in this item
REFINE_FAILURE_NO_SOCKET0	There is no Socket to attach
REFINE_FAILURE_NO_GOLD_SOCKET	There is no Goldsocket to attach %s
HOW_MANY_ITEM_DO_YOU_DROP1	Do you want to drop %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Do you want to drop %s %s?
MONETARY_UNIT0	Gold
MONETARY_UNIT1	Ten Thousand
MONETARY_UNIT2	Hundred Billion
FISHING_NOTIFY1	It looks like %s is hooked!
FISHING_NOTIFY2	It looks like %s got captured!
FISHING_SUCCESS1	Captured %s!
FISHING_SUCCESS2	Got %s!
TOOLTIP_AUTO_POTION_USING	使用中
TOOLTIP_AUTO_POTION_REST	剩余 : %.2f%%
TOOLTIP_AUTO_POTION_HP	自动恢复生命值
TOOLTIP_AUTO_POTION_SP	自动恢复精力值
TOOLTIP_APPLY_MAX_SP_PCT	+%d%%	SA
TOOLTIP_APPLY_MAX_HP_PCT	+%d%%	SA
EMOTION_DANCE_6	舞
TOOLTIP_NEXT_SKILL_LEVEL_3	下一等 : %d	
TOOLTIP_ENERGY	test%d	SA
TOOLTIP_TIME_CHARGER_PER	冲时间 %d%%
TOOLTIP_TIME_CHARGER_FIX	冲时间 %d秒
DRAGON_SOUL_STEP_LEVEL1	最下级
DRAGON_SOUL_STEP_LEVEL2	下级
DRAGON_SOUL_STEP_LEVEL3	中级
DRAGON_SOUL_STEP_LEVEL4	上级
DRAGON_SOUL_STEP_LEVEL5	最上级
DRAGON_SOUL_STRENGTH	+%d强
DRAGON_SOUL_EQUIP_WARNING1	装备后不能卸下
DRAGON_SOUL_EQUIP_WARNING2	是否继续装备
DRAGON_SOUL_UNEQUIP_WARNING1	卸下道具有可能使其损坏
DRAGON_SOUL_UNEQUIP_WARNING2	是否要卸下装备
DRAGON_SOUL_UNQUALIFIED	没有达到使用龙魂石的权限
DRAGON_SOUL_UNMATCHED_SLOT	插槽不正确
DRAGON_SOUL_EXPIRED	已经用完的龙魂石
TOOLTIP_DRAGON_SOUL_DECK1	天
TOOLTIP_DRAGON_SOUL_DECK2	地
DRAGON_SOUL_CANNOT_REFINE_MORE	不能再次强化
DRAGON_SOUL_CANNOT_REFINE	该龙魂石不能强化
DRAGON_SOUL_INVALID_DRAGON_SOUL	龙魂石不正确
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	不是龙魂石
DRAGON_SOUL_NOT_MATCHED_SLOT	插槽不正确
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	材料不足
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	不是龙魂石强化石
CANNOT_USE	不能使用
TOOLTIP_MAGIC_ATTBONUS_PER	魔法攻击力 +%d%%
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	魔法/物理攻击力 +%d%%
TOOLTIP_RESIST_ICE	冰冻抗性 +%d
TOOLTIP_RESIST_EARTH	打的抗性 +%d
TOOLTIP_RESIST_DARK	黑暗抗性 +%d
TOOLTIP_ANTI_CRITICAL_PCT	追加抗性 +%d%%
TOOLTIP_ANTI_PENETRATE_PCT	贯通抗性 +%d%%
UI_NEXTPAGE	>>
UI_PREVPAGE	<<
TOOLTIP_COSTUME_ATTR_BONUS	increased costume bonus %d	SA
