AFF_LOVE_POINT	הÞ״ֹ ָֽ :%d%%
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	ּדםÚ ֳÚײֱַ ַבדּדזÚֹ םהַבזה הÞַ״ ַבֳ׃בזָ ַָבÊ׃ַזם
PARTY_HEAL_ALL_MEMBER	ַ׃ÊÚַֹֿ ַבַֽבֹ ַבֶׁם׃םֹ
PARTY_INCREASE_AREA_150	דֿל ַבדּדזÚֹ ֵׁÊÝÚ ָÚַדב 1,5	SNA
PARTY_INCREASE_AREA_200	דֿל ַבדּדזÚֹ ֵׁÊÝÚ ָÚַדב 2	SNA
PARTY_LEAVE	דÛַֹֿׁ ַבדּדזÚֹ
PARTY_LONGTIME_BONUS_EXP	Úבַזֹ Úבל הÞַ״ ַב־ָֹׁ בדֹֿ ַבבÚָ ַב״זםבֹ: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Ûםׁ דÊױב]
PARTY_RECALL_MEMBER	ַ׃ÊֿÚֱַ  ֳÚײֱַ ַבדּדזÚֹ
PARTY_REGEN_BONUS	הÞַ״ ֽםַֹ ֵײַÝםֹ-+ Êּֿםֿ הÞַ״ ַבֳ׃בזָ:+%d%%	SA
PARTY_REQUEST_DENIED	בÞֿ ׁÝײÊ ַבֿÚזֹ ֵבל ַבדּדזÚֹ
PARTY_SET_ATTACKER	Êװßב ßדוַּד
PARTY_SET_BERSERKER	Úםה ßוֶַּ
PARTY_SET_BUFFER	Êװßב ßדױֿ
PARTY_SET_DEFENDER	Êװßב ßדַֿÝÚ
PARTY_SET_NORMAL	ֵבÛֱַ ַבÊÚֿםב
PARTY_SET_SKILL_MASTER	ÊÚםה ß׃םֿ ַבדוַַׁÊ
PARTY_SET_TANKER	ÊÚםםה ßדַָֽׁ Ýם ַבÞÊַב Úה Þָׁ.
PARTY_SKILL_ATTACKER	Þםדֹ ַבוּזד ַבֳ׃ַ׃םֹ דוַּד +%,0f
PARTY_SKILL_BERSERKER	׃ׁÚֹ וּזד ַבוֶַּ +%,0f
PARTY_SKILL_BUFFER	דֹֿ דוַֹׁ ַבדÊױֿם +%,0f
PARTY_SKILL_DEFENDER	דַֿÝÚ ֿÝַÚ +%,0f
PARTY_SKILL_HP_REGEN	Êּֿםֿ הÞַ״ ַבֽםַֹ +%,0f%%
PARTY_SKILL_PARTY_AREA	דֿל ַבדּדזÚֹ +%d%%
PARTY_SKILL_SKILL_MASTER	הÞַ״ ֵ׃בזָ ׃םֿ ַבדוַֹׁ ַבÞױזל +%,0f
PARTY_SKILL_SP_REGEN	Êּֿםֿ הÞַ״ ַבֳ׃בזָ +%,0f%%
PARTY_SKILL_TANKER	הÞַ״ ַבֽםַֹ ַבÞױזל בבדÞַÊב Úה Þָׁ +%,0f
PARTY_SKILL_WARP	הֱַֿ Úײז ַבדּדזÚֹ דÊַֽ
PASSWORD_TITLE	ֽÝÙ ßבדֹ ַב׃ׁ
PICK_ITEM_TITLE	ׁÞד ַבװםֱ
PICK_MONEY_TITLE	דּדזÚ
PRIVATE_SHOP_CANNOT_SELL_ITEM	בַ Ê׃Ê״םÚ ָםÚ ו׀ַ ַבװםֱ Ýם דÊּׁ ־ַױ
PRIVATE_SHOP_CLOSE_QUESTION	וב Êׁםֿ ֵÞÝַב ַבדÊּׁ ַב־ַױ
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	ֵ׃ד ַבדÊּׁ ַב־ַױ
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	׃Úׁ
PVP_LEVEL0	Ýַׁ׃ם
PVP_LEVEL1	הףָצםב
PVP_LEVEL2	ּףםרצֿ
PVP_LEVEL3	ב״םÝ
PVP_LEVEL4	ֽצםףַֿצםר
PVP_LEVEL5	Úֶַֿם
PVP_LEVEL6	דַßׁ
PVP_LEVEL7	ַב־ָֻהֹ
PVP_LEVEL8	ÝףÙצםÚ
PVP_MODE_GUILD	Êד ÊװÛםב ־םַׁ בַÚָ ײֿ בַÚָ
PVP_MODE_KILL	Êד ÊװÛםב בַÚָ ײֿ בַÚָ ֽׁ
PVP_MODE_NORMAL	Êד ÊװÛםב בַÚָ ײֿ בַÚָ ׃בַד
PVP_MODE_PROTECT	Êד ÊװÛםב בַÚָ ײֿ בַÚָ ֽדַםֹ
PVP_MODE_REVENGE	Êד ÊװÛםב בַÚָ ײֿ בַÚָ וּזדם
PVP_OPTION_KILL	־ףַבע
PVP_OPTION_NORMAL	׃בַד
PVP_OPTION_PROTECT	ֽדַםֹ
PVP_OPTION_REVENGE	Úֶַֿם
QUEST_APPEND	Êד Ê׃ּםב ֳדׁ ּֿםֿ
QUEST_MIN	ֿÞםÞֹ
QUEST_SEC	ַֻהםֹ
QUEST_TIMEOVER	ֵהÊול ַבזÞÊ
QUEST_UNLIMITED_TIME	בַ םזּֿ ׂדה דֽֿֿ
QUEST_ZEROSEC	0 ַֻהםֹ
QUICKSLOT_REGISTER_DISABLE_ITEM	בַ םדßה ׂםַֹֿ ו׀ַ ַבÛׁײ ֵבל ׃ַֹֽ ַבוּזד ַב׃ׁםÚ
RECEIVE_MESSAGE	%s ֳׁ׃ב בß ׁ׃ַבֹ
REFINE_COST	ÊßַבםÝ ַבÊֽ׃םה %d םַהÛ
REFINE_DESTROY_WARNING	Þֿ םִֿם Êֽ׃םה ו׀ַ ַבװםֱ ֵבל Êֿדםׁו
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	ו׀ַ םׂםֿ דה ֵֽÊדַב ַבÊֽ׃םה
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	׃םÊֽ״ד ַבװםֱ Ýם ַֽב ַבÝװב¡וב ÊׁÛָ Ýם ַבַ׃Êדַׁׁ¿
REFINE_DOWN_GRADE_WARNING	Þֿ םִֿם Êֽ׃םה ו׀ַ ַבװםֱ ֵבל ַ׃ֱַÊו
REFINE_DO_YOU_SEPARATE_METIN	וב Êׁםֿ ֽ׀Ý ּֽׁ ַבװָֽ
REFINE_FAILURE	בבֳ׃Ý¡בד ההּֽ!בÞֿ Ýװבהַ
REFINE_FAILURE_CAN_NOT_ATTACH	%s בַ ם׃Ê״םÚ ֵײַÝֹ ו׀ַ ַבװםֱ
REFINE_FAILURE_EQUIP_ITEM	בַ Ê׃״םÚ Êֽ׃םה ַבֳװםֱַ ַבדֿׁÚֹ
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	בַ Ê׃Ê״םÚ ֽ׀Ý ּֽׁ ַבװָֽ
REFINE_FAILURE_NEED_BETTER_SCROLL	ֳהÊ ַָֹּֽ ַבל Ýׁדַה Êֽ׃םה
REFINE_FAILURE_NO_GOLD_SOCKET	בַ םזּֿ ַַֿׁ ׀וָם¡ ßם Êׂםֿ %s
REFINE_FAILURE_NO_MORE_SOCKET	בַ Ê׃Ê״םÚ ׂםַֹֿ ַ״ַַׁÊ ֳ־ׁל
REFINE_FAILURE_NO_SOCKET0	בַ םזּֿ ֵ״ַׁ ßם Êׂםֿ %s
REFINE_FAILURE_SOCKET_DISABLE_ITEM	בַ Ê׃Ê״םÚ ׂםַֹֿ ַ״ַַׁÊ Úבל ו׀ַ ַבÛׁײ
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	בַ םדßה Êֽ׃םה ו׀ַ ַבÛׁײ
REFINE_SUCCESS	בÞֿ Êד Êֽ׃םה ו׀ַ ַבÛׁײ ָהַּֽ
REFINE_SUCCESS_PROBALITY	Ýׁױ Êֽ׃םה: %d%%
REFINE_WARNING2	וב Êׁםֿ ַבÊÞֿד¿
SAFEBOX_ERROR	בÞֿ ַֿ־בÊ ßבדֹ ׃ׁ Ûםׁ ױֽםֹֽ
SAFEBOX_SELL_DISABLE_SAFEITEM	בַ Ê׃״םÚ ָםÚ ֳם דה ַבֳװםֱַ ַבדֽÝÙֹ
SAFEBOX_WRONG_PASSWORD	םָּ Ê״ַָÞ ßבדַÊ ַב׃ׁ
SCREENSHOT_SAVE1	ֽÝÙÊ Ýם
SCREENSHOT_SAVE2	דבÝ בÞ״ַÊ ַבװַװֹ
SCREENSHOT_SAVE_FAILURE	Ýװב Ýם ֽÝÙ בÞ״ַÊ ַבװַװֹ	
SECOND	ַֻהםֹ
SELECT_CAN_NOT_DELETE	בַ Ê׃Ê״םÚ ד׃ֽ ו׀ו ַבװ־ױםֹ
SELECT_CHANGED_NAME	בÞֿ ָֿבÊ ֵ׃ד ו׀ו ַבװ־ױםֹ.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	ֵ׃ד ו׀ו ַבװ־ױםֹ דֳ־ז׀
SELECT_CHANGE_FAILURE_STRANGE_INDEX	ַֽזב דַּֿֿנ
SELECT_CHANGE_FAILURE_STRANGE_NAME	ו׀ַ ֵ׃ד ַבװ־ױםֹ ַב־״ֳ
SELECT_CHANGE_NAME_TITLE	ÊÚֿםב ֵ׃ד ַבװ־ױםֹ
SELECT_DELEING	׃םÊד ד׃ֽ ו׀ו ַבװ־ױםֹ
SELECT_DELETED	Êד ַבד׃ֽ
SELECT_DO_YOU_DELETE_REALLY	וב Êׁםֿ ַבÊÞֿד
SELECT_EMPTY_SLOT	ו׀ַ דםַֿה ־ַב
SELECT_GM_NAME	׃םֿ ַבבÚָֹ
SELECT_INPUT_CHANGING_NAME	ֿÚ ֵ׃ד װ־ױםֹ ּֿםֿ
SELECT_NOT_JOIN_GUILD	בַ םזּֿ ּבֿ
SHOP_BUY_INFO	Ê׃״םÚ װֱַׁ ו׀ַ ַבÛׁײ דה זַּוֹ ַבדÊּׁ
SHOP_CANNOT_SELL_EQUIPMENT	בַ Ê׃Ê״םÚ ָםÚ ַבֳװםֱַ ַבדֿׁÚֹ
SHOP_CANNOT_SELL_ITEM	ו׀ַ ַבװםֱ בם׃ בבָםÚ
SHOP_ERROR_UNKNOWN	Ú״ָ Ýם ַבדÊּׁ דּוזב: %s
SHOP_INVALID_POS	ו׀ַ ַבװםֱ Ûםׁ דהַ׃ָ
SHOP_INVENTORY_FULL	Þֶַדֹ ַבדֽÊזםַÊ דבםֶֹ
SHOP_NOT_ENOUGH_MONEY	םַהÛ Ûםׁ ßַÝע
SHOP_SELL_INFO	ֵ־Êׁ Ýם דֽÊזל ַבֳװםֱַ Úבל ַבװםֱ ַבד־ױױ בבָםÚ
SHOP_SOLDOUT	דַָÚ
SHOT_ERROR_UNKNOWN	־״ֳ וּזדם דּוזב דה ד׃ַÝֹ ָÚםֹֿ: %s
SKILL_BOHO	ֵהÚßַ׃
SKILL_BUDONG	בה Ê׃ÊÚדב ָÚֿ
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	ַָֹּֽ ֵבל הÞַ״ ֳ׃בזָ בÊÚבד ו׀ו ַבדוַֹׁ
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	ַָֹּֽ ֵבל ßÊַָ בÊÚבד ו׀ו ַבדוַֹׁ
SKILL_CHEONGEUN	ּ׃ד Þזם
SKILL_CRITICAL	ֵױַָֹ ֹּֽׁ
SKILL_ENCHANT_POISON	ֵ׃ÊÚדב ַב׃ד
SKILL_EUNHYEONG	Ûםׁ דֶׁם
SKILL_FAINT	ÝצÞתַֿהץ ַבזףÚתם
SKILL_FIND_TRAP	ַָֻֽ Úה ַבÝ־
SKILL_FIRE	ַצֽתÊףׁףÞף
SKILL_FISHMIND	׃םÊד ֵ׃ÊÚדַב ßֹׁ ַבֳ׃דַß
SKILL_GAMJI	ֵַֿׁß
SKILL_GEOMGYEONG	וַבֹ ַב׃םÝ
SKILL_GEONGON	דוַֹׁ ּזהּה בה Ê׃ÊÚדב ָÚֿ
SKILL_GICHEON	ד׃ַÚֹֿ ַבÊהםה
SKILL_GIGONG	ֿזַׁה װם
SKILL_GONGPO	־זÝ
SKILL_GRADE_NAME_GRAND_MASTER	%s ַב־ָםׁ ַבדֽÊׁÝ
SKILL_GRADE_NAME_MASTER	%s ׃םֿ
SKILL_GRADE_NAME_PERFECT_MASTER	%s ׃םֿ דÊßַדב
SKILL_GROUP_ASSASSIN_1	װÝֹׁ
SKILL_GROUP_ASSASSIN_2	Þז׃
SKILL_GROUP_HORSE	ֵÊÞַה ׁßזָ ַב־םב
SKILL_GROUP_SHAMAN_1	Êהםה
SKILL_GROUP_SHAMAN_2	װÝֱַ
SKILL_GROUP_SURA_1	׃בַֽ
SKILL_GROUP_SURA_2	׃ֽׁ
SKILL_GROUP_WARRIOR_1	ּ׃ֿ
SKILL_GROUP_WARRIOR_2	׀והם
SKILL_GWIGEOM	װÝֹׁ ד׃ֽזֹׁ
SKILL_GYEONGGONG	דװם ַבׁםװ
SKILL_HEUKSIN	ַבֽדַםֹ ַבÙבַדםֹ
SKILL_HOSIN	דַָׁßֹ
SKILL_HWAYEOM	דוַֹׁ וזַםזד בה Ê׃ÊÚדב ָÚֿ
SKILL_HYEOLMA	דוַֹׁ וםזבדֹ בה Ê׃ÊÚדב ָÚֿ
SKILL_INC_ATKSPD	ֵׁÊÝַÚ ׃ׁÚֹ ַבוּזד
SKILL_INC_MOVSPD	ֵׁÊÝַÚ ׃ׁÚֹ ַבÊֽׁß
SKILL_INMA	דוַֹׁ ַהדַ בה Ê׃ÊÚדב ָÚֿ
SKILL_JEOJU	בÚהֹ
SKILL_JEONGEOP	װÝֱַ
SKILL_JEONGWI	הװזֹ ַבÞÊַב
SKILL_JEONSINBANGEO	ֿÝַÚ ßַדב
SKILL_JEONSINGONGGYEOK	וּזד ßַדב
SKILL_JEUNGCHE	דוַֹׁ_ּזהּװו בה Ê׃ÊÚדב ָÚֿ
SKILL_JEUNGHON	דוַֹׁ_ּזהÛה בה Ê׃ÊÚדב ָÚֿ
SKILL_JEUNGRYEOK	וּזד +
SKILL_JEUNGSOK	׃ׁÚֹ +
SKILL_JIGAM	דוַֹׁ_ּÛוַד בה Ê׃ÊÚדב ָÚֿ
SKILL_JIPJUNG	דוַֹׁ_ָּּהּ בה Ê׃ÊÚדב ָÚֿ
SKILL_JUMAGAP	ֿׁÚ ד׃ֽזׁ
SKILL_JUMAGEOM	דוַֹׁ_ּדÛזד בה Ê׃ÊÚדב ָÚֿ
SKILL_KWAEGEOM	דוַֹׁ_ßזַםּזד בה Ê׃ÊÚדב ָÚֿ
SKILL_KWAESOK	׃ׁÚֹ
SKILL_LEGBOUND	דוַֹׁ_בָּזהֿ  בה Ê׃ÊÚדב ָÚֿ
SKILL_MUSA	דוַֹׁ_דז׃ל בה Ê׃ÊÚדב ָÚֿ
SKILL_MUYEONG	װָֽ ַבװÚבֹ
SKILL_NEED_EMPTY_BOTTLE	בַ ֳדבß Þַׁזֹׁ ÝַׁÛֹ
SKILL_NEED_POISON_BOTTLE	בַ ֳדבß Þַׁזֹׁ ׃ד
SKILL_ONLY_FOR_GUILD_WAR	Ê׃Ê״םÚ ֵ׃ÊÚדַב ו׀ו ַבדוַֹׁ Ýם ָֽׁ Ûבֿה ÝÞ״
SKILL_PABEOP	ַַׂבֹ ַב׃ֽׁ
SKILL_POWERFUL_STRIKE	וּזד ד־ֿׁ
SKILL_SEOMGWANG	Þהָבֹ ָׁÞםֹ
SKILL_SINCHAK	דוַֹׁ_׃הװÞ  בה Ê׃ÊÚדב ָÚֿ
SKILL_SLEEP	הזד
SKILL_SLOW	ָ״םֱ
SKILL_STUN	Ê־ֿםׁ
SKILL_SUHO	ַֽׁ׃
SKILL_SUMMON_DESCRIPTION	Ýׁױֹ בבװÚז׀ֹ: %d%%
SKILL_TOOLTIP_INT	ַבַ׃Ê־ַַָׁÊ
SKILL_TOOLTIP_LEVEL	ד׃Êזל
SKILL_TOXICDIE	Ê׃דד
SKILL_TOXICPOWER	Êֽ׃ה Þםדֹ ַבוּזד
SKILL_TUSOK	ײָֹׁ װָֽ	
SKILL_WONSIN	דוַֹׁ_זה׃ה בה Ê׃ÊÚדב ָÚֿ
SKILL_YONGSIN	דוַֹׁ_םהּ׃ה בה Ê׃ÊÚדב ָÚֿ
STAT_MINUS_CON	ÊßםםÝ ״ַÞֹ ַבֽםַֹ (ַבÝׁױ ַבדÊָÞםֹ: %d)
STAT_MINUS_DEX	׃ׁÚֹ ַבÊßםÝ (ַבÝׁױ ַבדÊָÞםֹ: %d)
STAT_MINUS_INT	ÊÚֿםב ַב׀ßֱַ (ַבÝׁױ ַבדÊָÞםֹ: %d)
STAT_MINUS_STR	ÊÚֿםב ַבÞזֹ (ַבÝׁױ ַבדÊָÞםֹ: %d)
STAT_TOOLTIP_CON	Êד Êֽ׃םה הÞַ״ ַבֽםַֹ ז ַבֿÝַÚ
STAT_TOOLTIP_DEX	Êד Êֽ׃םה ַבֿÞֹ זַבוָׁ
STAT_TOOLTIP_INT	Êד Êֽ׃םה ַבÞזֹ ַב׃ֽׁםֹ ז הÞַ״ ַבֳ׃בזָ
STAT_TOOLTIP_STR	Êד Êֽ׃םה Þםדֹ ַבוּזד
SYMBOLLIST_TITLE	׃ּב Úבד ַבַָׁ״ֹ
SYSTEM_OPTION_CPU_TILING_1	ÊÝÚםב הÙַד CPU-Tiling םִֿם ֵבל Êֽ׃םה ׃ׁÚֹ ַֽ׃זָ ָ״םֱ.
SYSTEM_OPTION_CPU_TILING_2	Úהֿדַ Êזַּוß דװַßב Ýם ַבַּׁÝםß¡ ֵ־Êׁ¡ ־םַׁ ַבהÙַד ¡ֳז CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	זֵהÞב ֵבל דזֿ GPU-Tiling
SYSTEM_OPTION_GPU_TILING_1	דזֿ GPU-Tiling םÚדב ָָ״ֱ Úבל ַֽ׃זָ ײÚםÝ
SYSTEM_OPTION_GPU_TILING_2	Úהֿדַ Êזַּוß דװַßב Ýם ַבַּׁÝםß¡ ֵ־Êׁ¡ ־םַׁ ַבהÙַד ¡ֳז ,CONFIG.exe‘
SYSTEM_OPTION_GPU_TILING_3	ז ֵהÞב ַבדזֿ ֵבל GPU-Tiling
SYSTEM_OPTION_TILING_EXIT	בÊÛםׁ ֵבל דזֿ Tiling¡ םָּ ֵהוֱַ ַבבÚָֹ
TARGET_BUTTON_ACCEPT_FIGHT	זַÝףÞף
TARGET_BUTTON_AVENGE	ֳֻׁ
TARGET_BUTTON_BUILDING_DESTROY	Êֿדםׁ
TARGET_BUTTON_DISMOUNT	Êףׁףּרףבף
TARGET_BUTTON_EMOTION_ALLOW	ֳַֽ׃ם׃
TARGET_BUTTON_EXCHANGE	ÊףÝףַזףײף
TARGET_BUTTON_EXCLUDE	ַ׃ÊָÚַֿ
TARGET_BUTTON_EXIT_OBSERVER	ֵהוֱַ ַבדװַוֹֿ
TARGET_BUTTON_FIGHT	דץָףַׁףׂףֹ
TARGET_BUTTON_FRIEND	ױֿםÞ
TARGET_BUTTON_INVITE_GUILD	ֿÚזֹ ַבַָׁ״ֹ
TARGET_BUTTON_INVITE_PARTY	ֿÚזֹ דּדזÚֹ
TARGET_BUTTON_LEAVE_PARTY	ֵÊׁß ַבדּדזÚֹ
TARGET_BUTTON_REQUEST_ENTER_PARTY	ֵהײד ֵבל ַבדּדזÚֹ
TARGET_BUTTON_VIEW_EQUIPMENT	דÚַֿÊ
TARGET_BUTTON_WHISPER	זװזװֹ
TARGET_LEVEL_BOSS	ׂףÚצםד
TARGET_LEVEL_KING	דׁÊָֹ 5
TARGET_LEVEL_KNIGHT	דׁÊָֹ 3
TARGET_LEVEL_PAWN	דׁÊָֹ 1
TARGET_LEVEL_S_KNIGHT	דׁÊָֹ 4
TARGET_LEVEL_S_PAWN	ד׃Êזל 2
TASKBAR_ATTACK	וַּד
TASKBAR_AUTO	ֳזÊזדַÊםßם
TASKBAR_CAMERA	ßַדםַׁ
TASKBAR_EXP	־ָֹׁ
TASKBAR_HP	הÞַ״ ֽםַֹ
TASKBAR_MOVE	Êֽׁß
TASKBAR_SKILL	דוַֹׁ
TASKBAR_SP	הÞַ״ ֳ׃בזָ
TASKBAR_ST	AP
THING_COUNT	ßב
TOOLTIP_ANTI_SELL	בַ םדßה ַבָםÚ Ýם  ַבדÊּׁ
TOOLTIP_APPLY_ATTBONUS_ANIMAL	ָÞזֹ ײֿ ַבֽםזַהַÊ: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	ָÞזֹ ײֿ ַבהםהַּ: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	ָÞזֹ ײֿ ַבװם״ַה +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	ָÞזֹ ײֿ הױÝ ָװׁ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	ָÞזֹ ײֿ ַב״ֶַÝֹ ַב׃ׁםֹ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	ָÞזֹ ײֿ זֽװ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	ָÞזֹ ײֿ ַבÛזב +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	ָÞזֹ ײֿ דװÚז׀ע +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	ָÞזֹ ײֿ ׃זֹׁ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	ָÞזֹ ײֿ ֳבַ דזÊל +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	ָÞזֹ ײֿ ַבדÞַÊבםה +%d%%	SA
TOOLTIP_APPLY_BLOCK	Ýׁױֹ ױֿ ַבוּזד ַבּ׃ֿם %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	ֵ׃ÊÚַֹֿ הÞַ״ ַבֵ׃בזָ Ýם ַבÞÊַב ßב 5 ֻזַהם %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	%d%% Ýׁױֹ ֵױַָֹ ַֽ׃דֹ	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Ýׁױֹ ֵ׃ÊÚַֹֿ הÞַ״ ַבֽםַֹ ַָבֵױַָֹ	SA
TOOLTIP_APPLY_DODGE	%d%%Ýׁױֹ ַבוָׁ דה ַבוּזד ַב׃ודם	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Ýׁױֹ ֽױזב Úבל הÞַ״ ־ָֹׁ ֵײַÝםֹ 	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Ýׁױֹ ַבÊ־בם Úה ַבםַהÛ דײַÚÝֹ	SA
TOOLTIP_APPLY_IMMUNE_FALL	דֽױה ײֿ ַבזÞזÚ	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	ַבֿÝַÚ ײֿ ַבÊַָ״ִ	SNA
TOOLTIP_APPLY_IMMUNE_STUN	ֿÝַÚ ײֿ ַבֵÛדֱַ 	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Ýׁױֹ ַבÊ־בם Úה ַבֳװםֱַ דײַÚÝֹ	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Ýׁױֹ ֵ׃ÊÚַֹֿ הÞַ״ ַבֽםַֹ	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Ýׁױֹ ֵ׃ÊÚַֹֿ הÞַ״ ַבֳ׃בזָ	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Ýׁױֹ ֳ־׀ הÞַ״ ֵ׃בזָ ַב־ױד	SA
TOOLTIP_APPLY_NOAFFECT	בַ Êֳֻםׁ
TOOLTIP_APPLY_NO_DEATH_PENALTY	ָÚֿ ֵÚַֹֿ ֵֽםֱַ ַבבַÚָ Ýם דßַה ַבדזÊ¡ בה םÊד ־ױד ֳם הÞַ״ בב־ָֹׁ.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Ýׁױֹ ־ַׁÞֹ בבײָׁ	SA
TOOLTIP_APPLY_POISON_PCT	Ýׁױֹ ַבÊ׃דד: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	דÞַזדֹ ַב׃דזד %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	ׂםַֹֿ Ýם Êֳֻםׁ ַבּׁÚֹ %d%%	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% Ýׁױֹ Úß׃ ַבבÚהֹ	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Ýׁױֹ Úß׃ ַבוּזד ַבּ׃ֿם דַָװֹׁ	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Ýׁױֹ בבֿÝַÚ ײֿ ַבוּדַÊ ַבהםהַּ %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	ֿÝַÚ ּׁ׃ם %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	ַבֿÝַÚ ַב־הּׁם %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	ֿÝַÚ דׁזֽם %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Ýׁױ ַבֿÝַÚ ײֿ וּזד ַבדװÚז׀ %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Ýׁױ ַבֿÝַÚ ײֿ וּזד ַב׃זֹׁ %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	ֿÝַÚ ׃םÝם %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	ֿÝַÚ ׃םÝ ַבÞָײÊםה %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Ýׁױֹ ֿÝַÚ ײֿ וּזד דÞַÊב %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	דÞַזדֹ ַבׁםַֽ %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Ýׁױֹ ַבֵ׃ÊÝַֹֿ דה ַבßÊָ ÊׁÊÝÚ ָÚַדב 2,5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	ֵ׀ַ Ýװב ַבÚבד¡ םדßהß ַבÞֱַֹׁ דֹׁ ֳ־ׁל Úבל ַבÝזׁ.	SNA
TOOLTIP_APPLY_SLOW_PCT	Ýׁױֹ Êַָ״ִ: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	ֵ׃ÊםÚַָ ַײַׁׁ %d%% דה הÞַ״ ַבֽםַֹ	SA
TOOLTIP_APPLY_STEAL_SP	ֵ׃ÊםÚַָ ַײַׁׁ %d%% דה הÞַ״ ַבֳ׃בזָ	SA
TOOLTIP_APPLY_STUN_PCT	Ýׁױֹ ַבֵÛדֱַ: %d%%	SA
TOOLTIP_ARMOR	דÚַֿÊ
TOOLTIP_ARROW	׃וד
TOOLTIP_ASSASSIN	הםהַּ
TOOLTIP_ATT_GRADE	Þםדֹ ַבוּזד +%d	SA
TOOLTIP_ATT_SPEED	׃ׁÚֹ ַבוּזד +%d%%	SA
TOOLTIP_BOW_DISTANCE	דֿל ַבׁדַםֹ +%dm	SA
TOOLTIP_BUYPRICE	ַב׃Úׁ: %s
TOOLTIP_CAST_SPEED	׃ׁÚֹ ַב׃ֽׁ: +%d%%	SA
TOOLTIP_CON	Þזֹ ַבֽםַֹ +%d	SA
TOOLTIP_DEF_GRADE	ֿÝַÚ +%d	SA
TOOLTIP_DEX	ֽׁßֹ +%d	SA
TOOLTIP_EAR	Þׁ״
TOOLTIP_ETC	ֵב־.
TOOLTIP_FISHINGROD_EXP	הÞַ״: %d / %d
TOOLTIP_FISHINGROD_LEVEL	ד׃Êזל: %d
TOOLTIP_FISHINGROD_UPGRADE1	ֳÚ״ם בבױםַֿ
TOOLTIP_FISHINGROD_UPGRADE2	בÊֽÞםÞ ֳÝײב
TOOLTIP_FISHINGROD_UPGRADE3	בÊֽ׃םה Þײםָ ַבױםֿ
TOOLTIP_FISH_LEN	ַב״זב: %,2fcm
TOOLTIP_HELMET	־ז׀ֹ
TOOLTIP_HP_REGEN	Êּֿםֿ הÞַ״ ַבֽםַֹ +%d%%	SA
