AFF_LOVE_POINT	Pontos de Amor: %d%%
STAT_MINUS_CON	Redução de VIT: %d	
STAT_MINUS_DEX	Redução de DES: %d	
STAT_MINUS_INT	Redução de INT: %d	
STAT_MINUS_STR	Redução de FOR: %d	
STAT_TOOLTIP_CON	Aumenta HP, Defesa e Resistência.	
STAT_TOOLTIP_DEX	Aumenta os índices de acerto e evasão. 	
STAT_TOOLTIP_INT	Aumenta MP, Atq. Mágico e Prot. Mágica.	
STAT_TOOLTIP_STR	Aumenta o Ataque.	
SYMBOLLIST_TITLE	Emblema da Guilda	
SYSTEM_OPTION_CPU_TILING_1	O modo gráfico CPU pode melhorar a performance do seu computador. Caso encontre	
SYSTEM_OPTION_CPU_TILING_2	problemas gráficos, utilize as configurações do sistema para alterar suas opções	
SYSTEM_OPTION_CPU_TILING_3	e selecione o modo gráfico GPU novamente.	
SYSTEM_OPTION_GPU_TILING_1	O modo gráfico GPU pode ser mais lento em alguns casos, dependendo da placa de vídeo. 	
SYSTEM_OPTION_GPU_TILING_2	Caso tenha problemas gráficos utilize as configurações do sistema para alterar suas opções	
SYSTEM_OPTION_GPU_TILING_3	e para selecionar o modo gráfico CPU novamente.	
SYSTEM_OPTION_TILING_EXIT	A alteração do modo gráfico requer a reinicialização do jogo.	
TARGET_BUTTON_ACCEPT_FIGHT	Duelar	
TARGET_BUTTON_AVENGE	Vingança	
TARGET_BUTTON_BUILDING_DESTROY	Atacar	
TARGET_BUTTON_DISMOUNT	Desmontar	
TARGET_BUTTON_EMOTION_ALLOW	Expressões	
TARGET_BUTTON_EXCHANGE	Negociação	
TARGET_BUTTON_EXCLUDE	Excluir	
TARGET_BUTTON_EXIT_OBSERVER	Finalizar
TARGET_BUTTON_FIGHT	Duelo	
TARGET_BUTTON_FRIEND	Contato	
TARGET_BUTTON_INVITE_GUILD	Guilda	
TARGET_BUTTON_INVITE_PARTY	Grupo	
TARGET_BUTTON_LEAVE_PARTY	Sair	
TARGET_BUTTON_REQUEST_ENTER_PARTY	Participar	
TARGET_BUTTON_VIEW_EQUIPMENT	Equipamento	
TARGET_BUTTON_WHISPER	Mensagem
TARGET_LEVEL_BOSS	Mestre
TARGET_LEVEL_KING	Supremo
TARGET_LEVEL_KNIGHT	Superior
TARGET_LEVEL_PAWN	Comum
TARGET_LEVEL_S_KNIGHT	Elite
TARGET_LEVEL_S_PAWN	Valente
TASKBAR_ATTACK	Ataque	
TASKBAR_AUTO	Ataque Automático	
TASKBAR_CAMERA	Câmera	
TASKBAR_EXP	Experiência	
TASKBAR_HP	HP	
TASKBAR_MOVE	Mover	
TASKBAR_SKILL	Skill	
TASKBAR_SP	MP	
TASKBAR_ST	Resistência	
THING_COUNT	Un.	
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Bônus contra Animais: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Bônus contra Ninjas: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Bônus contra Demônios: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Bônus contra Humanóides: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Bônus contra Fanáticos: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Bônus contra Monstros: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Bônus contra Orcs: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Bônus contra Shamans: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Bônus contra Shuras: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Bônus contra Mortos-vivos: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Bônus contra Guerreiros: +%d%%	SA
TOOLTIP_APPLY_BLOCK	Chance de bloquear Ataque Físico: %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Recupera %d MP a cada 5 segundos	SA
TOOLTIP_APPLY_CRITICAL_PCT	Chance de Ataque Crítico: +%d%% 	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Chance de recuperar MP no ataque: %d%%	SA
TOOLTIP_APPLY_DODGE	Chance de esquivar Flechas: %d%% 	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	Experiência bônus: +%d%% 	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	Gold bônus: +%d%%	SA
TOOLTIP_APPLY_IMMUNE_FALL	Resistência contra Enfraquecimento	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Resistência contra Lentidão	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Resistência contra Atordoamento	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	Taxa de Drop: +%d%%	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	Chance de restaurar HP: %d%% 	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	Chance de restaurar MP: %d%% 	SA
TOOLTIP_APPLY_MANA_BURN_PCT	Chance de reduzir MP do oponente: %d%%	SA
TOOLTIP_APPLY_NOAFFECT	Sem efeito	
TOOLTIP_APPLY_NO_DEATH_PENALTY	Não perderá Experiência ao ser derrotado	SNA
TOOLTIP_APPLY_PENETRATE_PCT	Chance de Perfurar: +%d%%	SA
TOOLTIP_APPLY_POISON_PCT	Chance de Envenenar oponente: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Resistência contra Veneno: +%d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Bônus em poções: +%d%%	SA
TOOLTIP_APPLY_REFLECT_CURSE	Reflete Magia: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	Reflete Ataques Físicos: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Resistência contra Sinos: %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Resistência contra Adagas: %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Resistência contra Leques: %d%% 	SA
TOOLTIP_APPLY_RESIST_SWORD	Resistência contra Espadas: %d%% 	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Resistência contra Esp. duas mãos: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Resistência contra Vento: %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Bônus em aprimorar Skills: 150%	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Ignora cooldown em aprimorar Skills	SNA
TOOLTIP_APPLY_SLOW_PCT	Chance de causar Lentidão: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	Chance de absorver HP: %d%%	SA
TOOLTIP_APPLY_STEAL_SP	Chance de absorver MP: %d%%	SA
TOOLTIP_APPLY_STUN_PCT	Chance de Atordoar oponente: %d%%	SA
TOOLTIP_ANTI_SELL	Não pode ser vendido na Loja	
TOOLTIP_ARMOR	Armadura	
TOOLTIP_ARROW	Flecha	
TOOLTIP_ASSASSIN	Ninja	
TOOLTIP_ATT_GRADE	Ataque: +%d	SA
TOOLTIP_ATT_SPEED	Velocidade de ataque: +%d%%	SA
TOOLTIP_BOW_DISTANCE	Alcance do arco: +%dm	SA
TOOLTIP_BUYPRICE	Preço: %s	
TOOLTIP_CAST_SPEED	Velocidade de Skill: +%d%%	SA
TOOLTIP_CON	Vitalidade: +%d	SA
TOOLTIP_DEF_GRADE	Defesa: +%d	SA
TOOLTIP_DEX	Destreza: +%d	SA
TOOLTIP_EAR	Brinco	
TOOLTIP_ETC	Etc	
TOOLTIP_PICK_EXP	Pontos: %d / %d	
TOOLTIP_PICK_LEVEL	Level: %d	
TOOLTIP_PICK_UPGRADE1	Oferecer a Picareta ao Lenhador.	
TOOLTIP_PICK_UPGRADE2	Refinar Picareta	
TOOLTIP_PICK_UPGRADE3	Loja de itens para mineração
TOOLTIP_FISHINGROD_EXP	Pontos: %d / %d	
TOOLTIP_FISHINGROD_LEVEL	Level: %d	
TOOLTIP_FISHINGROD_UPGRADE1	Oferecer o item ao pescador.	
TOOLTIP_FISHINGROD_UPGRADE2	Refinar Vara de pescar	
TOOLTIP_FISHINGROD_UPGRADE3	Loja de itens para pesca	
TOOLTIP_FISH_LEN	Comprimento: %.2fcm	
TOOLTIP_HELMET	Elmo	
TOOLTIP_HP_REGEN	Regeneração de HP: +%d%%	SA
TOOLTIP_INT	Inteligência: +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Ataque: %d	
TOOLTIP_ITEM_ATT_POWER	Ataque: %d - %d	
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Ataque: %d	
TOOLTIP_ITEM_ATT_POWER_REFINE	Ataque: %d - %d (+%d)	
TOOLTIP_ITEM_ATT_SPEED	Velocidade de Ataque: %s	
TOOLTIP_ITEM_DEF_GRADE	Defesa: %d	
TOOLTIP_ITEM_FAST	Rápido	
TOOLTIP_ITEM_LIMIT_CON	Vit necessária: %d	
TOOLTIP_ITEM_LIMIT_DEX	Des necessária: %d	
TOOLTIP_ITEM_LIMIT_INT	Int necessária: %d	
TOOLTIP_ITEM_LIMIT_LEVEL	Nível necessário: %d	
TOOLTIP_ITEM_LIMIT_STR	For necessária: %d	
TOOLTIP_ITEM_MAGIC_ATT_POWER	Ataque Mágico: %d - %d	
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Ataque Mágico: %d	
TOOLTIP_ITEM_MAGIC_DEF_POWER	Proteção Mágica: %d	
TOOLTIP_ITEM_NORMAL	Normal	
TOOLTIP_ITEM_SLOW	Lento	
TOOLTIP_ITEM_VERY_FAST	Rápido	
TOOLTIP_ITEM_VERY_SLOW	Muito lento	
TOOLTIP_ITEM_WEARABLE_JOB	[ Classes ]	
TOOLTIP_LOTTERY_STEP_NUMBER	%d	
TOOLTIP_LOTTO_NUMBER	Número da sorte : %d	
TOOLTIP_MAGIC_ATT_GRADE	Ataque Mágico: +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Proteção Mágica: +%d	SA
TOOLTIP_MALL_ATTBONUS	Ataque: +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Ataque: +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Adquire Gold automaticamente	SNA
TOOLTIP_MALL_DEFBONUS	Defesa:+%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Defesa: +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	Experiência: +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	Lan Experiência : +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Experiência: +100%	SNA
TOOLTIP_MALL_FISH_MIND	Chance de pescar um peixe raro: +100%	SNA
TOOLTIP_MALL_GOLDBONUS	Taxa de Gold: +%.1f	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Taxa de Gold: +100%	SNA
TOOLTIP_MALL_ITEMBONUS	Taxa de Drop: +%.1f	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	Lan Taxa de Drop:+%.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Taxa de Drop:+100%	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Bônus nos Pontos de Amor	SNA
TOOLTIP_MALL_SAFEBOX	Armazém contém sessões extras	SNA
TOOLTIP_MAX_HP	HP Máximo: +%d	SA
TOOLTIP_MAX_HP_PCT	HP Máximo: +%d%%	SA
TOOLTIP_MAX_SP	MP Máximo: +%d	SA
TOOLTIP_MAX_SP_PCT	MP Máximo: +%d%%	SA
TOOLTIP_MAX_STAMINA	Resistência Máxima: +%d	SA
TOOLTIP_MEMORIZED_POSITION	%s (%d, %d)	
TOOLTIP_MEMORIZED_POSITION_ERROR	Erro nas coordenadas(%d, %d)	
TOOLTIP_MOV_SPEED	Velocidade de Movimento: %d%%	SA
TOOLTIP_NECK	Colar	
TOOLTIP_NEED_ALL_SP	Usa todo o MP
TOOLTIP_NEED_GSP	GSP necessário: %d	
TOOLTIP_NEED_HP	HP necessário: %d	
TOOLTIP_NEED_HP_PER_SEC	HP necessário: %d/seg	
TOOLTIP_NEED_SKILL_POINT	Pontos de Skill necessários: 	
TOOLTIP_NEED_SP	MP necessário: %d	
TOOLTIP_NEED_SP_PER_SEC	MP necessário: %d/seg	
TOOLTIP_NEXT_SKILL_LEVEL_1	Próximo nível: %d (Nível máx: %d)	
TOOLTIP_NEXT_SKILL_LEVEL_2	Próximo nível: %d (Nível máx: %d-%d)	
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Dano: %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Defesa: %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Mais de %d membros no Grupo,	
TOOLTIP_PARTY_INFO_GRADE_UP2	Ataque: +%d	
TOOLTIP_PARTY_INFO_GRADE_UP3	, Defesa: +%d	
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Recupera o HP/MP de todos os membros do grupo uma vez a cada 60 minutos.	
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Recupera o HP/MP de todos os membros do grupo uma vez a cada 30 minutos.	
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Pode convocar os membros do grupo 3 minutos após sua derrota.	
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Pode convocar os membros do grupo se estiverem no servidor.	
TOOLTIP_PARTY_INFO_SET_ATTACKER	Ataque +(Número de integrantes do grupo/2) pode ser adicionado ao Ofensivo %d.	
TOOLTIP_PARTY_INFO_SET_TANKER	Defesa +(Número de integrantes do grupo) pode ser adicionado ao Defensivo ou Resistente.	
TOOLTIP_PARTY_SKILL_LEVEL	Nível: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Bônus em Ataque e Defesa]	
TOOLTIP_PARTY_TITLE_HEAL	[Recuperar]	
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Mais de %d membros no grupo resultam em Exp. bônus de %d%%	
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bônus Exp]	
TOOLTIP_PARTY_TITLE_RECALL	[Convocar]	
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Selecionar Ofensivo]	
TOOLTIP_PARTY_TITLE_SET_TANKER	[Selecionar Resistente]	
TOOLTIP_POTION_CURE	Cura efeitos negativos	
TOOLTIP_POTION_MIN	m	
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Velocidade de Ataque: +%d	
TOOLTIP_POTION_PLUS_HP_PERCENT	HP: +%d%%	
TOOLTIP_POTION_PLUS_HP_POINT	HP: +%d	
TOOLTIP_POTION_PLUS_MOVING_SPEED	Velocidade de Movimento: +%d	
TOOLTIP_POTION_PLUS_SP_PERCENT	MP: +%d%%	
TOOLTIP_POTION_PLUS_SP_POINT	MP: +%d	
TOOLTIP_POTION_SEC	s	
TOOLTIP_POTION_TIME	Duração: 	
TOOLTIP_REQUIREMENT_21_LEVEL	Necessário nível 21 ou superior.	
TOOLTIP_REQUIREMENT_41_LEVEL	Necessário nível 41 ou superior.	
TOOLTIP_REQUIREMENT_LEVEL	Necessário nível %d.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	Skill %s nível %d  é necessária.	
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d necessário.	
TOOLTIP_RESIST_BOW	Resistência contra Flechas: %d%%	SA
TOOLTIP_RESIST_ELEC	Resistência contra Relâmpago: +%d%%	SA
TOOLTIP_RESIST_FIRE	Resistência contra Fogo: +%d%%	SA
TOOLTIP_RESIST_MAGIC	Resistência contra Magia: +%d%%	SA
TOOLTIP_REST_USABLE_COUNT	Restante: %d	
TOOLTIP_SELLPRICE	Preço: %s	
TOOLTIP_SHAMAN	Shaman
TOOLTIP_SHIELD	Escudo	
TOOLTIP_SHOES	Calçado	
TOOLTIP_SKILL	Skill	SNA
TOOLTIP_SKILLBOOK_NAME	Livro de Skill	
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Ataque: +	
TOOLTIP_SKILL_AFFECT_ATT_POWER	Ataque: 	
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Velocidade de Ataque: +	
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Defesa: 	
TOOLTIP_SKILL_AFFECT_DODGE	Ataque do oponente: -	
TOOLTIP_SKILL_AFFECT_HEAL	Restaura HP: 	
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Velocidade de movimento: +	
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Reflete ataques físicos:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistência a dano físico: 	
TOOLTIP_SKILL_COOL_TIME	Cooldown: 	
TOOLTIP_SKILL_DAMAGE_BONUS	Dano de Skill: %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Resistência a Skills: %d%%	SA
TOOLTIP_SKILL_DURATION	Duração: %d segundos	
TOOLTIP_SKILL_FORGET_BOOK_NAME	Livro do Esquecimento	
TOOLTIP_SKILL_LEVEL	Nível: %d	
TOOLTIP_SKILL_LEVEL_MASTER	Nível: %d (Master)	
TOOLTIP_SKILL_LEVEL_WITH_MAX	Nível: %d (Nível máx: %d)	
TOOLTIP_SOCKET_EMPTY	Vazio	
TOOLTIP_SOCKET_REFINABLE_ITEM	[ Item para Slot ]	
TOOLTIP_SP_REGEN	Regeneração de MP: +%d%%	SA
TOOLTIP_STR	FOR: +%d	SA
TOOLTIP_SURA	Shura	
TOOLTIP_UNIQUE	Único	
TOOLTIP_WARRIOR	Guerreiro	
TOOLTIP_WEAPON	Arma	
TOOLTIP_WRISTLET	Bracelete	
UI_ACCEPT	Aceitar	
UI_CANCEL	Cancelar	
UI_CLOSE	Fechar	
UI_DEF_FONT	Verdana:12
UI_DEF_FONT_LARGE	Verdana:16	
UI_DEF_FONT_SMALL	Verdana:9	
UI_DENY	Negar	
UI_ITEM	Item	
UI_LEFT_TIME	Tempo Restante : %d seg.	
UI_NEXT	Próximo	
UI_NOCONTENTS	Sem conteúdo	
UI_NONAME	Sem nome	
UI_OK	Ok	
UI_POS_UNKNOWN	Local desconhecido	
UI_UNKNOWN	Desconhecido	
USE_ITEM_FAILURE_PRIVATE_SHOP	Não é possível utilizar o item enquanto a Loja Particular estiver aberta.	
USE_SKILL_ERROR_UNKNOWN	%s causou um erro de Skill desconhecido.	
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	É necessário relogar para que as alterações tenham efeito.	
UPLOAD_MARK_CHECK_NEED_RECONNECT	É necessário relogar para que as alterações tenham efeito.	
TOOLTIP_APPLY_RESIST_WARRIOR	Resistência contra Guerreiros: %d%%	SA	
TOOLTIP_APPLY_RESIST_ASSASSIN	Resistência contra Ninjas: %d%%	SA			
TOOLTIP_APPLY_RESIST_SURA	Resistência contra Shuras: %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Resistência contra Shamans: %d%%	SA
DO_YOU_SELL_ITEM1	Deseja vender %s por %s?
DO_YOU_SELL_ITEM2	Deseja vender %s x%s por %s?
DO_YOU_BUY_ITEM1	Deseja comprar %s por %s?
DO_YOU_BUY_ITEM2	Deseja comprar %s x%s por %s?
REFINE_FAILURE_CAN_NOT_ATTACH	%s não pode ser integrado a este item.	
REFINE_FAILURE_NO_SOCKET	Não possui Slot para poder adicionar %s.	
REFINE_FAILURE_NO_GOLD_SOCKET	Não possui Slot Dourado para pode adicionar %s.	
HOW_MANY_ITEM_DO_YOU_DROP1	Deseja realmente descartar %s?	
HOW_MANY_ITEM_DO_YOU_DROP2	Deseja realmente descartar %s x%s?	
MONETARY_UNIT0	Gold	
MONETARY_UNIT1	Dez mil	
MONETARY_UNIT2	Cem milhões	
FISHING_NOTIFY1	%s está mordendo a isca!
FISHING_NOTIFY2	%s está preso no anzol!
FISHING_SUCCESS1	Parabéns, você pescou um(a) %s!	
FISHING_SUCCESS2	Parabéns, você conseguiu um(a) %s!
FOR_MALE	Masculino
FOR_FEMALE	Feminino
LOGIN_FAILURE_WEB_BLOCK	test
GUILD_MARK_MIN_LEVEL	3
GUILD_MARK_NOT_ENOUGH_LEVEL	É necessário Guilda nível 3.
TOOLTIP_AUTO_POTION_USING	EM USO
TOOLTIP_AUTO_POTION_REST	Porcent. Restante : %.2f%%
TOOLTIP_AUTO_POTION_HP	Pocao Automatica HP
TOOLTIP_AUTO_POTION_SP	Pocao Automatica MP
TOOLTIP_APPLY_MAX_SP_PCT	MP Maximo +%d%%	SA
TOOLTIP_APPLY_MAX_HP_PCT	HP Maximo +%d%%	SA
TOOLTIP_ENERGY	Energia em %d	SA
UI_NEXTPAGE	>>
UI_PREVPAGE	<<
TOOLTIP_COSTUME_ATTR_BONUS	increased costume bonus %d	SA
TOOLTIP_TIME_CHARGER_PER	Duração %d%%	SA
TOOLTIP_TIME_CHARGER_FIX	Duração %d%%	SA
DRAGON_SOUL_STEP_LEVEL1	Fosca
DRAGON_SOUL_STEP_LEVEL2	Clara
DRAGON_SOUL_STEP_LEVEL3	Limpa
DRAGON_SOUL_STEP_LEVEL4	Brilhante
DRAGON_SOUL_STEP_LEVEL5	Resplandecente
DRAGON_SOUL_STRENGTH	+%dLevel	SA
DRAGON_SOUL_EQUIP_WARNING1	Depois de equipar uma pedra é difícil removê-la.
DRAGON_SOUL_EQUIP_WARNING2	Mesmo assim deseja equipar?
DRAGON_SOUL_UNEQUIP_WARNING1	Remover pedras pode quebrá-las.
DRAGON_SOUL_UNEQUIP_WARNING2	Mesmo assim deseja remover?
DRAGON_SOUL_UNQUALIFIED	A pedra não possui os requisitos necessários.
DRAGON_SOUL_UNMATCHED_SLOT	A pedra não encaixa no slot.
DRAGON_SOUL_EXPIRED	A pedra expirou.
TOOLTIP_DRAGON_SOUL_DECK1	Armadura	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Acessórios	SNA
DRAGON_SOUL_CANNOT_REFINE_MORE	Não pode mais ser refinada.
DRAGON_SOUL_CANNOT_REFINE	Não pode ser refinada.
DRAGON_SOUL_INVALID_DRAGON_SOUL	Pedra inválida.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Não é uma pedra.
DRAGON_SOUL_NOT_MATCHED_SLOT	Não encaixa neste slot.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Faltam materiais.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Não é uma pedra de refinação.
CANNOT_USE	Desabilitada
TOOLTIP_MAGIC_ATTBONUS_PER	Ataque Mágico +%d%%	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Bônus de Dano Físico/Mágico +%d%%	SA
TOOLTIP_RESIST_ICE	Resistência a Gelo +%d	SA
TOOLTIP_RESIST_EARTH	Resistência a Terra +%d	SA
TOOLTIP_RESIST_DARK	Resistência a Trevas +%d	SA
TOOLTIP_ANTI_CRITICAL_PCT	Resistência a Critico +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistência a Perfuração +%d%%	SA
MAP_CAPE	Península do Dragão
MAP_THUNDER	Montanhas Trovão
MAP_DAWN	Penhasco da Alvorada
MAP_BAY	Enseada de Jades
